location,time,temperature,precipitation_probability,precipitation,is_day
San Francisco,2026-02-14 16:00:00,8.949999809265137,,0.0,1
San Francisco,2026-02-14 17:00:00,9.699999809265137,,0.0,1
San Francisco,2026-02-14 18:00:00,10.850000381469727,,0.0,1
San Francisco,2026-02-14 19:00:00,12.050000190734863,,0.0,1
San Francisco,2026-02-14 20:00:00,13.149999618530273,,0.0,1
San Francisco,2026-02-14 21:00:00,13.75,,0.0,1
San Francisco,2026-02-14 22:00:00,14.100000381469727,,0.10000000149011612,1
San Francisco,2026-02-14 23:00:00,14.199999809265137,,0.10000000149011612,1
San Francisco,2026-02-15 00:00:00,13.649999618530273,,0.0,1
San Francisco,2026-02-15 01:00:00,13.0,,0.0,1
San Francisco,2026-02-15 02:00:00,12.649999618530273,,0.0,0
San Francisco,2026-02-15 03:00:00,12.649999618530273,,0.0,0
San Francisco,2026-02-15 04:00:00,12.699999809265137,,0.0,0
San Francisco,2026-02-15 05:00:00,12.699999809265137,,0.0,0
San Francisco,2026-02-15 06:00:00,12.800000190734863,,0.10000000149011612,0
San Francisco,2026-02-15 07:00:00,12.300000190734863,,0.0,0
San Francisco,2026-02-15 08:00:00,12.199999809265137,,0.0,0
San Francisco,2026-02-15 09:00:00,12.050000190734863,,0.0,0
San Francisco,2026-02-15 10:00:00,12.25,,0.0,0
San Francisco,2026-02-15 11:00:00,11.649999618530273,,1.399999976158142,0
San Francisco,2026-02-15 12:00:00,11.449999809265137,,0.800000011920929,0
San Francisco,2026-02-15 13:00:00,11.699999809265137,,0.30000001192092896,0
San Francisco,2026-02-15 14:00:00,12.0,,0.10000000149011612,0
San Francisco,2026-02-15 15:00:00,12.300000190734863,,0.0,1
San Francisco,2026-02-15 16:00:00,12.550000190734863,,0.699999988079071,1
San Francisco,2026-02-15 17:00:00,12.199999809265137,,0.5,1
San Francisco,2026-02-15 18:00:00,12.899999618530273,,0.20000000298023224,1
San Francisco,2026-02-15 19:00:00,13.050000190734863,,0.800000011920929,1
San Francisco,2026-02-15 20:00:00,13.449999809265137,,1.7999999523162842,1
San Francisco,2026-02-15 21:00:00,14.199999809265137,,0.5,1
San Francisco,2026-02-15 22:00:00,13.949999809265137,,1.2000000476837158,1
San Francisco,2026-02-15 23:00:00,13.75,,1.7000000476837158,1
San Francisco,2026-02-16 00:00:00,13.5,,1.2000000476837158,1
San Francisco,2026-02-16 01:00:00,12.899999618530273,,1.399999976158142,1
San Francisco,2026-02-16 02:00:00,12.25,,2.700000047683716,0
